section,parameter,selected_value,sweep_or_fixed_values,notes
Input,signal_channels,FHR and UC,FHR and UC,Two-channel CTG windows were used for SSL pretraining.
Input,window_length,10 minutes,Fixed,Each window contained 2400 samples per channel at 4 Hz.
Input,sampling_rate,4 Hz,Fixed,Signals were resampled or represented at the project target sampling rate.
Tokenization,patch_length,80 samples,"80, 120",Non-overlapping patches were used in the selected model.
Tokenization,patch_stride,80 samples,Equal to patch length,The selected configuration produced 30 temporal patches per channel.
Tokenization,token_count,60 channel-time tokens,Derived,Thirty temporal patches by two channels.
Encoder,model_dimension,64,"48, 64",Latent token dimension before transformer encoding.
Encoder,transformer_layers,3,"2, 3",Compact encoder depth for the selected manuscript-candidate.
Encoder,attention_heads,4,Fixed,Multi-head self-attention heads.
Encoder,feedforward_width,4 x model dimension,Fixed,Transformer feed-forward layer width.
Encoder,activation,GELU,Fixed,Activation function in transformer feed-forward layers.
Encoder,dropout,0.1,Fixed,Applied within the compact transformer encoder.
Masking,masking_strategy,Channel masking,"Mixed, block, channel",Channel masking was used by the held-out manuscript-candidate; mixed and block masking were sensitivity configurations.
Masking,mask_fraction,0.25,Fixed,Fraction of patches or channel-time tokens masked in each view.
Augmentation,jitter_standard_deviation,0.02,Fixed,Gaussian jitter applied to paired training views.
Objective,reconstruction_loss,Masked-patch mean squared error,Fixed,Computed only over masked patches.
Objective,contrastive_loss,NT-Xent,Fixed,Applied to projected pooled embeddings from paired views.
Objective,contrastive_temperature,0.2,Fixed,Temperature parameter for NT-Xent loss.
Objective,contrastive_weight,0.2,"0.0, 0.2",Weight applied to the contrastive objective in the total loss.
Projection,projection_dimension,64,Fixed,Projection head output dimension for contrastive learning.
Training,optimizer,AdamW,Fixed,Optimizer used for compact candidate training.
Training,learning_rate,0.001,Fixed,Learning rate for AdamW.
Training,weight_decay,0.0001,Fixed,Weight decay for AdamW.
Training,batch_size,32,Fixed,Mini-batch size for SSL training.
Training,gradient_norm_clipping,1.0,Fixed,Maximum gradient norm.
Training,candidate_epochs,4,Fixed,Candidate configurations in the compact sweep were trained for four epochs.
Training,selected_architecture_trace,12 epochs,Inspection only,The 12-epoch trace was used for training-dynamics inspection and did not determine model selection.
Downstream,record_embedding,Mean pooled window embeddings,Fixed,Clean unmasked windows were encoded and averaged to record-level SSL representations.
